,Rank,Date,Team,Acquired,Relinquished,Notes
37341,37341,2024-02-05,BRK,,Ben Simmons,injured
37342,37342,2024-02-06,BRK,Ben Simmons,,returned
37343,37343,2024-02-14,BRK,,Ben Simmons,injured
37344,37344,2024-02-15,BRK,Ben Simmons,,returned
37345,37345,2024-02-27,BRK,,Ben Simmons,injured
37346,37346,2024-02-28,BRK,Ben Simmons,,returned
37347,37347,2024-02-29,BRK,,Ben Simmons,injured
37348,37348,2024-03-03,BRK,Ben Simmons,,returned
37349,37349,2024-03-04,BRK,,Ben Simmons,injured
37350,37350,2024-04-14,BRK,Ben Simmons,,returned
37351,37351,2023-11-22,CHI,,Zach LaVine,injured
37352,37352,2023-11-24,CHI,Zach LaVine,,returned
37353,37353,2023-11-30,CHI,,Zach LaVine,injured
37354,37354,2024-01-04,CHI,Zach LaVine,,returned
37355,37355,2024-01-20,CHI,,Zach LaVine,injured
37356,37356,2024-04-14,CHI,Zach LaVine,,returned
37357,37357,2023-11-22,PHI,,Joel Embiid,injured
37358,37358,2023-11-24,PHI,Joel Embiid,,returned
37359,37359,2023-11-29,PHI,,Joel Embiid,injured
37360,37360,2023-12-05,PHI,Joel Embiid,,returned
37361,37361,2023-12-25,PHI,,Joel Embiid,injured
37362,37362,2024-01-01,PHI,Joel Embiid,,returned
37363,37363,2024-01-06,PHI,,Joel Embiid,injured
37364,37364,2024-01-14,PHI,Joel Embiid,,returned
37365,37365,2024-01-27,PHI,,Joel Embiid,injured
37366,37366,2024-01-29,PHI,Joel Embiid,,returned
37367,37367,2024-02-01,PHI,,Joel Embiid,injured
37368,37368,2024-04-01,PHI,Joel Embiid,,returned
37369,37369,2023-10-25,CHI,,Lonzo Ball,injured
37370,37370,2024-04-14,CHI,Lonzo Ball,,returned
37371,37371,2023-12-28,MEM,,Ja Morant,injured
37372,37372,2023-12-29,MEM,Ja Morant,,returned
37373,37373,2024-01-07,MEM,,Ja Morant,injured
37374,37374,2024-04-14,MEM,Ja Morant,,returned
37375,37375,2023-10-24,PHO,,Bradley Beal,injured
37376,37376,2023-11-08,PHO,Bradley Beal,,returned
37377,37377,2023-11-15,PHO,,Bradley Beal,injured
37378,37378,2023-12-11,PHO,Bradley Beal,,returned
37379,37379,2023-12-17,PHO,,Bradley Beal,injured
37380,37380,2023-12-28,PHO,Bradley Beal,,returned
37381,37381,2024-02-14,PHO,,Bradley Beal,injured
37382,37382,2024-03-01,PHO,Bradley Beal,,returned
37383,37383,2023-11-14,CHA,,Gordon Hayward,injured
37384,37384,2023-11-16,CHA,Gordon Hayward,,returned
37385,37385,2023-12-16,CHA,,Gordon Hayward,injured
37386,37386,2023-12-19,CHA,Gordon Hayward,,returned
37387,37387,2023-12-28,CHA,,Gordon Hayward,injured
37388,37388,2024-02-22,CHA,Gordon Hayward,,returned
37389,37389,2024-02-09,CHA,,Gordon Hayward,injured
37390,37390,2024-02-22,CHA,Gordon Hayward,,returned
37391,37391,2024-04-07,CHA,,Gordon Hayward,injured
37392,37392,2024-04-09,CHA,Gordon Hayward,,returned
37393,37393,2023-11-18,MEM,,Marcus Smart,injured
37394,37394,2023-12-25,MEM,Marcus Smart,,returned
37395,37395,2024-01-12,MEM,,Marcus Smart,injured
37396,37396,2024-04-14,MEM,Marcus Smart,,returned
37397,37397,2023-10-28,MIA,,Jimmy Butler,injured
37398,37398,2023-10-29,MIA,Jimmy Butler,,returned
37399,37399,2023-11-11,MIA,,Jimmy Butler,injured
37400,37400,2023-11-12,MIA,Jimmy Butler,,returned
37401,37401,2023-11-25,MIA,,Jimmy Butler,injured
37402,37402,2023-11-29,MIA,Jimmy Butler,,returned
37403,37403,2023-12-20,MIA,,Jimmy Butler,injured
37404,37404,2023-12-29,MIA,Jimmy Butler,,returned
37405,37405,2024-01-01,MIA,,Jimmy Butler,injured
37406,37406,2024-01-14,MIA,Jimmy Butler,,returned
37407,37407,2024-02-11,MIA,,Jimmy Butler,injured
37408,37408,2024-02-22,MIA,Jimmy Butler,,returned
37409,37409,2024-03-17,MIA,,Jimmy Butler,injured
37410,37410,2024-03-19,MIA,Jimmy Butler,,returned
37411,37411,2024-03-26,MIA,,Jimmy Butler,injured
37412,37412,2024-03-28,MIA,Jimmy Butler,,returned
37413,37413,2023-10-25,MEM,,Steven Adams,injured
37414,37414,2024-02-01,MEM,Steven Adams,,returned
37415,37415,2024-02-02,MEM,,Steven Adams,injured
37416,37416,2024-04-14,MEM,Steven Adams,,returned
37417,37417,2023-11-11,MIA,,Tyler Herro,injured
37418,37418,2023-12-17,MIA,Tyler Herro,,returned
37419,37419,2024-01-12,MIA,,Tyler Herro,injured
37420,37420,2024-01-13,MIA,Tyler Herro,,returned
37421,37421,2024-02-04,MIA,,Tyler Herro,injured
37422,37422,2024-02-05,MIA,Tyler Herro,,returned
37423,37423,2024-02-26,MIA,,Tyler Herro,injured
37424,37424,2024-03-01,MIA,Tyler Herro,,returned
37425,37425,2024-03-02,MIA,,Tyler Herro,injured
37426,37426,2024-04-04,MIA,Tyler Herro,,returned
37427,37427,2023-11-14,ATL,,Trae Young,injured
37428,37428,2023-11-15,ATL,Trae Young,,returned
37429,37429,2023-12-08,ATL,,Trae Young,injured
37430,37430,2023-12-11,ATL,Trae Young,,returned
37431,37431,2024-01-19,ATL,,Trae Young,injured
37432,37432,2024-01-20,ATL,Trae Young,,returned
37433,37433,2024-01-22,ATL,,Trae Young,injured
37434,37434,2024-01-25,ATL,Trae Young,,returned
37435,37435,2024-02-25,ATL,,Trae Young,injured
37436,37436,2024-04-09,ATL,Trae Young,,returned
37437,37437,2024-01-06,PHI,,Tobias Harris,injured
37438,37438,2024-01-09,PHI,Tobias Harris,,returned
37439,37439,2024-01-25,PHI,,Tobias Harris,injured
37440,37440,2024-01-28,PHI,Tobias Harris,,returned
37441,37441,2024-02-03,PHI,,Tobias Harris,injured
37442,37442,2024-02-04,PHI,Tobias Harris,,returned
37443,37443,2024-02-12,PHI,,Tobias Harris,injured
37444,37444,2024-03-21,PHI,Tobias Harris,,returned
37445,37445,2024-04-04,PHI,,Tobias Harris,injured
37446,37446,2024-04-09,PHI,Tobias Harris,,returned
37447,37447,2023-11-12,POR,,Malcolm Brogdon,injured
37448,37448,2023-11-20,POR,Malcolm Brogdon,,returned
37449,37449,2023-12-08,POR,,Malcolm Brogdon,injured
37450,37450,2023-12-13,POR,Malcolm Brogdon,,returned
37451,37451,2024-01-11,POR,,Malcolm Brogdon,injured
37452,37452,2024-01-12,POR,Malcolm Brogdon,,returned
37453,37453,2024-01-14,POR,,Malcolm Brogdon,injured
37454,37454,2024-01-16,POR,Malcolm Brogdon,,returned
37455,37455,2024-01-26,POR,,Malcolm Brogdon,injured
37456,37456,2024-01-27,POR,Malcolm Brogdon,,returned
37457,37457,2024-02-04,POR,,Malcolm Brogdon,injured
37458,37458,2024-02-07,POR,Malcolm Brogdon,,returned
37459,37459,2024-02-08,POR,,Malcolm Brogdon,injured
37460,37460,2024-03-24,POR,Malcolm Brogdon,,returned
37461,37461,2024-03-25,POR,,Malcolm Brogdon,injured
37462,37462,2024-04-14,POR,Malcolm Brogdon,,returned
37463,37463,2023-10-25,MEM,,Brandon Clarke,injured
37464,37464,2024-03-26,MEM,Brandon Clarke,,returned
37465,37465,2024-04-05,MEM,,Brandon Clarke,injured
37466,37466,2024-04-06,MEM,Brandon Clarke,,returned
37467,37467,2024-04-10,MEM,,Brandon Clarke,injured
37468,37468,2024-04-14,MEM,Brandon Clarke,,returned
37469,37469,2024-01-29,NYK,,Julius Randle,injured
37470,37470,2024-04-14,NYK,Julius Randle,,returned
37471,37471,2023-10-27,CLE,,Darius Garland,injured
37472,37472,2023-11-02,CLE,Darius Garland,,returned
37473,37473,2023-11-15,CLE,,Darius Garland,injured
37474,37474,2023-11-16,CLE,Darius Garland,,returned
37475,37475,2023-12-16,CLE,,Darius Garland,injured
37476,37476,2024-01-30,CLE,Darius Garland,,returned
37477,37477,2024-04-14,CLE,,Darius Garland,injured
37478,37478,2024-04-16,CLE,Darius Garland,,returned
37479,37479,2023-11-30,GSW,,Chris Paul,injured
37480,37480,2023-12-05,GSW,Chris Paul,,returned
37481,37481,2023-12-08,GSW,,Chris Paul,injured
37482,37482,2023-12-11,GSW,Chris Paul,,returned
37483,37483,2024-01-07,GSW,,Chris Paul,injured
37484,37484,2024-02-26,GSW,Chris Paul,,returned
37485,37485,2023-10-30,POR,,Robert Williams,injured
37486,37486,2023-10-31,POR,Robert Williams,,returned
37487,37487,2023-11-06,POR,,Robert Williams,injured
37488,37488,2024-04-14,POR,Robert Williams,,returned
37489,37489,2023-11-06,DEN,,Jamal Murray,injured
37490,37490,2023-11-28,DEN,Jamal Murray,,returned
37491,37491,2023-12-01,DEN,,Jamal Murray,injured
37492,37492,2023-12-05,DEN,Jamal Murray,,returned
37493,37493,2023-12-12,DEN,,Jamal Murray,injured
37494,37494,2023-12-13,DEN,Jamal Murray,,returned
37495,37495,2024-02-14,DEN,,Jamal Murray,injured
37496,37496,2024-02-24,DEN,Jamal Murray,,returned
37497,37497,2024-03-23,DEN,,Jamal Murray,injured
37498,37498,2024-03-26,DEN,Jamal Murray,,returned
37499,37499,2024-03-27,DEN,,Jamal Murray,injured
37500,37500,2024-04-05,DEN,Jamal Murray,,returned
37501,37501,2023-10-27,POR,,Anfernee Simons,injured
37502,37502,2023-12-05,POR,Anfernee Simons,,returned
37503,37503,2023-12-28,POR,,Anfernee Simons,injured
37504,37504,2024-01-02,POR,Anfernee Simons,,returned
37505,37505,2024-01-19,POR,,Anfernee Simons,injured
37506,37506,2024-01-20,POR,Anfernee Simons,,returned
37507,37507,2024-02-10,POR,,Anfernee Simons,injured
37508,37508,2024-02-12,POR,Anfernee Simons,,returned
37509,37509,2024-03-14,POR,,Anfernee Simons,injured
37510,37510,2024-03-15,POR,Anfernee Simons,,returned
37511,37511,2024-03-23,POR,,Anfernee Simons,injured
37512,37512,2024-04-14,POR,Anfernee Simons,,returned
37513,37513,2023-10-30,DAL,,Kyrie Irving,injured
37514,37514,2023-11-02,DAL,Kyrie Irving,,returned
37515,37515,2023-11-15,DAL,,Kyrie Irving,injured
37516,37516,2023-11-17,DAL,Kyrie Irving,,returned
37517,37517,2023-12-02,DAL,,Kyrie Irving,injured
37518,37518,2023-12-05,DAL,Kyrie Irving,,returned
37519,37519,2023-12-11,DAL,,Kyrie Irving,injured
37520,37520,2023-12-31,DAL,Kyrie Irving,,returned
37521,37521,2024-01-24,DAL,,Kyrie Irving,injured
37522,37522,2024-02-04,DAL,Kyrie Irving,,returned
37523,37523,2024-04-12,DAL,,Kyrie Irving,injured
37524,37524,2024-04-14,DAL,Kyrie Irving,,returned
37525,37525,2023-11-22,POR,,Deandre Ayton,injured
37526,37526,2023-11-25,POR,Deandre Ayton,,returned
37527,37527,2023-12-06,POR,,Deandre Ayton,injured
37528,37528,2023-12-13,POR,Deandre Ayton,,returned
37529,37529,2023-12-26,POR,,Deandre Ayton,injured
37530,37530,2024-01-16,POR,Deandre Ayton,,returned
37531,37531,2024-01-17,POR,,Deandre Ayton,injured
37532,37532,2024-01-18,POR,Deandre Ayton,,returned
37533,37533,2024-02-08,POR,,Deandre Ayton,injured
37534,37534,2024-02-09,POR,Deandre Ayton,,returned
37535,37535,2024-03-01,POR,,Deandre Ayton,injured
37536,37536,2024-03-08,POR,Deandre Ayton,,returned
37537,37537,2024-03-22,POR,,Deandre Ayton,injured
37538,37538,2024-03-28,POR,Deandre Ayton,,returned
37539,37539,2024-04-14,POR,,Deandre Ayton,injured
37540,37540,2024-04-16,POR,Deandre Ayton,,returned
37541,37541,2023-12-11,NYK,,Mitchell Robinson,injured
37542,37542,2024-03-26,NYK,Mitchell Robinson,,returned
37543,37543,2024-03-31,NYK,,Mitchell Robinson,injured
37544,37544,2024-04-01,NYK,Mitchell Robinson,,returned
37545,37545,2023-11-15,BOS,,Kristaps Porziņģis,injured
37546,37546,2023-11-16,BOS,Kristaps Porziņģis,,returned
37547,37547,2023-11-26,BOS,,Kristaps Porziņģis,injured
37548,37548,2023-12-07,BOS,Kristaps Porziņģis,,returned
37549,37549,2023-12-15,BOS,,Kristaps Porziņģis,injured
37550,37550,2023-12-16,BOS,Kristaps Porziņģis,,returned
37551,37551,2023-12-19,BOS,,Kristaps Porziņģis,injured
37552,37552,2023-12-20,BOS,Kristaps Porziņģis,,returned
37553,37553,2023-12-23,BOS,,Kristaps Porziņģis,injured
37554,37554,2023-12-25,BOS,Kristaps Porziņģis,,returned
37555,37555,2023-12-29,BOS,,Kristaps Porziņģis,injured
37556,37556,2023-12-30,BOS,Kristaps Porziņģis,,returned
37557,37557,2024-01-10,BOS,,Kristaps Porziņģis,injured
37558,37558,2024-01-11,BOS,Kristaps Porziņģis,,returned
37559,37559,2024-01-17,BOS,,Kristaps Porziņģis,injured
37560,37560,2024-01-18,BOS,Kristaps Porziņģis,,returned
37561,37561,2024-01-22,BOS,,Kristaps Porziņģis,injured
37562,37562,2024-01-24,BOS,Kristaps Porziņģis,,returned
37563,37563,2024-01-27,BOS,,Kristaps Porziņģis,injured
37564,37564,2024-01-29,BOS,Kristaps Porziņģis,,returned
37565,37565,2024-02-13,BOS,,Kristaps Porziņģis,injured
37566,37566,2024-02-14,BOS,Kristaps Porziņģis,,returned
37567,37567,2024-03-03,BOS,,Kristaps Porziņģis,injured
37568,37568,2024-03-04,BOS,Kristaps Porziņģis,,returned
37569,37569,2024-03-09,BOS,,Kristaps Porziņģis,injured
37570,37570,2024-03-17,BOS,Kristaps Porziņģis,,returned
37571,37571,2024-03-23,BOS,,Kristaps Porziņģis,injured
37572,37572,2024-03-24,BOS,Kristaps Porziņģis,,returned
37573,37573,2024-04-09,BOS,,Kristaps Porziņģis,injured
37574,37574,2024-04-10,BOS,Kristaps Porziņģis,,returned
37575,37575,2024-04-14,BOS,,Kristaps Porziņģis,injured
37576,37576,2024-04-16,BOS,Kristaps Porziņģis,,returned
37577,37577,2023-11-01,LAL,,Gabe Vincent,injured
37578,37578,2023-12-19,LAL,Gabe Vincent,,returned
37579,37579,2023-12-21,LAL,,Gabe Vincent,injured
37580,37580,2024-03-30,LAL,Gabe Vincent,,returned
37581,37581,2024-04-02,LAL,,Gabe Vincent,injured
37582,37582,2024-04-03,LAL,Gabe Vincent,,returned
37583,37583,2023-12-06,POR,,Jerami Grant,injured
37584,37584,2023-12-15,POR,Jerami Grant,,returned
37585,37585,2024-01-14,POR,,Jerami Grant,injured
37586,37586,2024-01-16,POR,Jerami Grant,,returned
37587,37587,2024-02-02,POR,,Jerami Grant,injured
37588,37588,2024-02-07,POR,Jerami Grant,,returned
37589,37589,2024-03-04,POR,,Jerami Grant,injured
37590,37590,2024-03-05,POR,Jerami Grant,,returned
37591,37591,2024-03-08,POR,,Jerami Grant,injured
37592,37592,2024-03-10,POR,Jerami Grant,,returned
37593,37593,2024-03-13,POR,,Jerami Grant,injured
37594,37594,2024-04-14,POR,Jerami Grant,,returned
37595,37595,2023-10-28,CLE,,Donovan Mitchell,injured
37596,37596,2023-10-30,CLE,Donovan Mitchell,,returned
37597,37597,2023-11-17,CLE,,Donovan Mitchell,injured
37598,37598,2023-11-24,CLE,Donovan Mitchell,,returned
37599,37599,2023-12-20,CLE,,Donovan Mitchell,injured
37600,37600,2023-12-28,CLE,Donovan Mitchell,,returned
37601,37601,2024-02-22,CLE,,Donovan Mitchell,injured
37602,37602,2024-02-24,CLE,Donovan Mitchell,,returned
37603,37603,2024-03-01,CLE,,Donovan Mitchell,injured
37604,37604,2024-03-12,CLE,Donovan Mitchell,,returned
37605,37605,2024-03-18,CLE,,Donovan Mitchell,injured
37606,37606,2024-03-28,CLE,Donovan Mitchell,,returned
37607,37607,2024-04-02,CLE,,Donovan Mitchell,injured
37608,37608,2024-04-03,CLE,Donovan Mitchell,,returned
37609,37609,2024-04-07,CLE,,Donovan Mitchell,injured
37610,37610,2024-04-09,CLE,Donovan Mitchell,,returned
37611,37611,2024-04-14,CLE,,Donovan Mitchell,injured
37612,37612,2024-04-16,CLE,Donovan Mitchell,,returned
37613,37613,2023-12-21,LAC,,Kawhi Leonard,injured
37614,37614,2023-12-31,LAC,Kawhi Leonard,,returned
37615,37615,2024-02-14,LAC,,Kawhi Leonard,injured
37616,37616,2024-02-22,LAC,Kawhi Leonard,,returned
37617,37617,2024-03-10,LAC,,Kawhi Leonard,injured
37618,37618,2024-03-11,LAC,Kawhi Leonard,,returned
37619,37619,2024-04-02,LAC,,Kawhi Leonard,injured
37620,37620,2024-04-14,LAC,Kawhi Leonard,,returned
37621,37621,2023-10-29,MIL,,Khris Middleton,injured
37622,37622,2023-10-30,MIL,Khris Middleton,,returned
37623,37623,2023-11-08,MIL,,Khris Middleton,injured
37624,37624,2023-11-09,MIL,Khris Middleton,,returned
37625,37625,2023-11-19,MIL,,Khris Middleton,injured
37626,37626,2023-11-20,MIL,Khris Middleton,,returned
37627,37627,2023-11-26,MIL,,Khris Middleton,injured
37628,37628,2023-11-27,MIL,Khris Middleton,,returned
37629,37629,2023-12-16,MIL,,Khris Middleton,injured
37630,37630,2023-12-17,MIL,Khris Middleton,,returned
37631,37631,2024-01-14,MIL,,Khris Middleton,injured
37632,37632,2024-01-15,MIL,Khris Middleton,,returned
37633,37633,2024-01-27,MIL,,Khris Middleton,injured
37634,37634,2024-01-28,MIL,Khris Middleton,,returned
37635,37635,2024-02-04,MIL,,Khris Middleton,injured
37636,37636,2024-02-05,MIL,Khris Middleton,,returned
37637,37637,2024-02-08,MIL,,Khris Middleton,injured
37638,37638,2024-03-16,MIL,Khris Middleton,,returned
37639,37639,2024-03-21,MIL,,Khris Middleton,injured
37640,37640,2024-03-22,MIL,Khris Middleton,,returned
37641,37641,2024-04-03,MIL,,Khris Middleton,injured
37642,37642,2024-04-04,MIL,Khris Middleton,,returned
37643,37643,2024-04-10,MIL,,Khris Middleton,injured
37644,37644,2024-04-11,MIL,Khris Middleton,,returned
37645,37645,2023-12-23,MIN,,Karl-Anthony Towns,injured
37646,37646,2023-12-25,MIN,Karl-Anthony Towns,,returned
37647,37647,2024-02-27,MIN,,Karl-Anthony Towns,injured
37648,37648,2024-02-28,MIN,Karl-Anthony Towns,,returned
37649,37649,2024-03-07,MIN,,Karl-Anthony Towns,injured
37650,37650,2024-04-11,MIN,Karl-Anthony Towns,,returned
37651,37651,2023-11-28,CHA,,LaMelo Ball,injured
37652,37652,2024-01-11,CHA,LaMelo Ball,,returned
37653,37653,2024-01-20,CHA,,LaMelo Ball,injured
37654,37654,2024-01-21,CHA,LaMelo Ball,,returned
37655,37655,2024-01-27,CHA,,LaMelo Ball,injured
37656,37656,2024-04-14,CHA,LaMelo Ball,,returned
37657,37657,2023-11-02,ORL,,Markelle Fultz,injured
37658,37658,2023-11-08,ORL,Markelle Fultz,,returned
37659,37659,2023-11-11,ORL,,Markelle Fultz,injured
37660,37660,2024-01-06,ORL,Markelle Fultz,,returned
37661,37661,2024-01-13,ORL,,Markelle Fultz,injured
37662,37662,2024-01-14,ORL,Markelle Fultz,,returned
37663,37663,2024-01-22,ORL,,Markelle Fultz,injured
37664,37664,2024-01-23,ORL,Markelle Fultz,,returned
37665,37665,2024-01-29,ORL,,Markelle Fultz,injured
37666,37666,2024-01-30,ORL,Markelle Fultz,,returned
37667,37667,2024-02-14,ORL,,Markelle Fultz,injured
37668,37668,2024-02-15,ORL,Markelle Fultz,,returned
37669,37669,2024-02-23,ORL,,Markelle Fultz,injured
37670,37670,2024-02-24,ORL,Markelle Fultz,,returned
37671,37671,2024-03-05,ORL,,Markelle Fultz,injured
37672,37672,2024-03-06,ORL,Markelle Fultz,,returned
37673,37673,2024-03-10,ORL,,Markelle Fultz,injured
37674,37674,2024-03-12,ORL,Markelle Fultz,,returned
37675,37675,2024-03-29,ORL,,Markelle Fultz,injured
37676,37676,2024-03-30,ORL,Markelle Fultz,,returned
37677,37677,2024-01-09,TOR,,Jakob Poeltl,injured
37678,37678,2024-02-01,TOR,Jakob Poeltl,,returned
37679,37679,2024-03-05,TOR,,Jakob Poeltl,injured
37680,37680,2024-04-14,TOR,Jakob Poeltl,,returned
37681,37681,2023-10-27,MEM,,Luke Kennard,injured
37682,37682,2023-10-31,MEM,Luke Kennard,,returned
37683,37683,2023-11-18,MEM,,Luke Kennard,injured
37684,37684,2023-12-30,MEM,Luke Kennard,,returned
37685,37685,2024-01-24,MEM,,Luke Kennard,injured
37686,37686,2024-01-25,MEM,Luke Kennard,,returned
37687,37687,2024-01-28,MEM,,Luke Kennard,injured
37688,37688,2024-02-01,MEM,Luke Kennard,,returned
37689,37689,2024-02-08,MEM,,Luke Kennard,injured
37690,37690,2024-02-09,MEM,Luke Kennard,,returned
37691,37691,2024-02-28,MEM,,Luke Kennard,injured
37692,37692,2024-03-01,MEM,Luke Kennard,,returned
37693,37693,2024-03-08,MEM,,Luke Kennard,injured
37694,37694,2024-03-09,MEM,Luke Kennard,,returned
37695,37695,2024-03-18,MEM,,Luke Kennard,injured
37696,37696,2024-03-29,MEM,Luke Kennard,,returned
37697,37697,2024-04-05,MEM,,Luke Kennard,injured
37698,37698,2024-04-14,MEM,Luke Kennard,,returned
37699,37699,2023-11-12,LAL,,LeBron James,injured
37700,37700,2023-11-13,LAL,LeBron James,,returned
37701,37701,2023-12-13,LAL,,LeBron James,injured
37702,37702,2023-12-14,LAL,LeBron James,,returned
37703,37703,2023-12-21,LAL,,LeBron James,injured
37704,37704,2023-12-22,LAL,LeBron James,,returned
37705,37705,2024-01-13,LAL,,LeBron James,injured
37706,37706,2024-01-14,LAL,LeBron James,,returned
37707,37707,2024-01-23,LAL,,LeBron James,injured
37708,37708,2024-01-24,LAL,LeBron James,,returned
37709,37709,2024-02-01,LAL,,LeBron James,injured
37710,37710,2024-02-02,LAL,LeBron James,,returned
37711,37711,2024-02-14,LAL,,LeBron James,injured
37712,37712,2024-02-22,LAL,LeBron James,,returned
37713,37713,2024-02-22,LAL,,LeBron James,injured
37714,37714,2024-02-23,LAL,LeBron James,,returned
37715,37715,2024-03-08,LAL,,LeBron James,injured
37716,37716,2024-03-09,LAL,LeBron James,,returned
37717,37717,2024-03-26,LAL,,LeBron James,injured
37718,37718,2024-03-27,LAL,LeBron James,,returned
37719,37719,2024-04-07,LAL,,LeBron James,injured
37720,37720,2024-04-09,LAL,LeBron James,,returned
37721,37721,2023-10-28,TOR,,OG Anunoby,injured
37722,37722,2023-10-29,TOR,OG Anunoby,,returned
37723,37723,2023-11-13,TOR,,OG Anunoby,injured
37724,37724,2023-11-18,TOR,OG Anunoby,,returned
37725,37725,2024-01-29,TOR,,OG Anunoby,injured
37726,37726,2024-03-11,TOR,OG Anunoby,,returned
37727,37727,2024-03-18,TOR,,OG Anunoby,injured
37728,37728,2024-03-19,TOR,OG Anunoby,,returned
37729,37729,2024-03-21,TOR,,OG Anunoby,injured
37730,37730,2024-04-04,TOR,OG Anunoby,,returned
37731,37731,2023-12-20,PHI,,Robert Covington,injured
37732,37732,2023-12-21,PHI,Robert Covington,,returned
37733,37733,2024-01-02,PHI,,Robert Covington,injured
37734,37734,2024-01-05,PHI,Robert Covington,,returned
37735,37735,2024-01-06,PHI,,Robert Covington,injured
37736,37736,2024-01-18,PHI,Robert Covington,,returned
37737,37737,2024-01-19,PHI,,Robert Covington,injured
37738,37738,2024-04-14,PHI,Robert Covington,,returned
37739,37739,2023-11-25,UTA,,Jordan Clarkson,injured
37740,37740,2023-11-26,UTA,Jordan Clarkson,,returned
37741,37741,2023-11-30,UTA,,Jordan Clarkson,injured
37742,37742,2023-12-07,UTA,Jordan Clarkson,,returned
37743,37743,2023-12-13,UTA,,Jordan Clarkson,injured
37744,37744,2023-12-22,UTA,Jordan Clarkson,,returned
37745,37745,2024-03-03,UTA,,Jordan Clarkson,injured
37746,37746,2024-03-04,UTA,Jordan Clarkson,,returned
37747,37747,2024-03-15,UTA,,Jordan Clarkson,injured
37748,37748,2024-03-24,UTA,Jordan Clarkson,,returned
37749,37749,2024-03-27,UTA,,Jordan Clarkson,injured
37750,37750,2024-04-14,UTA,Jordan Clarkson,,returned
37751,37751,2023-10-30,NOP,,Brandon Ingram,injured
37752,37752,2023-11-03,NOP,Brandon Ingram,,returned
37753,37753,2024-01-13,NOP,,Brandon Ingram,injured
37754,37754,2024-01-14,NOP,Brandon Ingram,,returned
37755,37755,2024-02-22,NOP,,Brandon Ingram,injured
37756,37756,2024-02-24,NOP,Brandon Ingram,,returned
37757,37757,2024-03-22,NOP,,Brandon Ingram,injured
37758,37758,2024-04-14,NOP,Brandon Ingram,,returned
37759,37759,2023-10-27,BRK,,Cameron Johnson,injured
37760,37760,2023-11-09,BRK,Cameron Johnson,,returned
37761,37761,2023-12-27,BRK,,Cameron Johnson,injured
37762,37762,2023-12-28,BRK,Cameron Johnson,,returned
37763,37763,2024-01-27,BRK,,Cameron Johnson,injured
37764,37764,2024-01-28,BRK,Cameron Johnson,,returned
37765,37765,2024-02-06,BRK,,Cameron Johnson,injured
37766,37766,2024-02-13,BRK,Cameron Johnson,,returned
37767,37767,2024-03-07,BRK,,Cameron Johnson,injured
37768,37768,2024-03-12,BRK,Cameron Johnson,,returned
37769,37769,2024-03-25,BRK,,Cameron Johnson,injured
37770,37770,2024-03-30,BRK,Cameron Johnson,,returned
37771,37771,2024-04-01,BRK,,Cameron Johnson,injured
37772,37772,2024-04-02,BRK,Cameron Johnson,,returned
37773,37773,2024-04-06,BRK,,Cameron Johnson,injured
37774,37774,2024-04-09,BRK,Cameron Johnson,,returned
37775,37775,2024-04-12,BRK,,Cameron Johnson,injured
37776,37776,2024-04-14,BRK,Cameron Johnson,,returned
37777,37777,2023-10-25,DET,,Bojan Bogdanović,injured
37778,37778,2023-12-01,DET,Bojan Bogdanović,,returned
37779,37779,2024-01-12,DET,,Bojan Bogdanović,injured
37780,37780,2024-01-16,DET,Bojan Bogdanović,,returned
37781,37781,2024-02-07,DET,,Bojan Bogdanović,injured
37782,37782,2024-02-08,DET,Bojan Bogdanović,,returned
37783,37783,2024-02-14,DET,,Bojan Bogdanović,injured
37784,37784,2024-02-22,DET,Bojan Bogdanović,,returned
37785,37785,2023-10-26,PHO,,Devin Booker,injured
37786,37786,2023-10-30,PHO,Devin Booker,,returned
37787,37787,2023-10-31,PHO,,Devin Booker,injured
37788,37788,2023-11-01,PHO,Devin Booker,,returned
37789,37789,2023-11-04,PHO,,Devin Booker,injured
37790,37790,2023-11-14,PHO,Devin Booker,,returned
37791,37791,2023-12-01,PHO,,Devin Booker,injured
37792,37792,2023-12-02,PHO,Devin Booker,,returned
37793,37793,2024-02-08,PHO,,Devin Booker,injured
37794,37794,2024-02-09,PHO,Devin Booker,,returned
37795,37795,2024-03-03,PHO,,Devin Booker,injured
37796,37796,2024-03-10,PHO,Devin Booker,,returned
37797,37797,2023-11-05,CHA,,Terry Rozier,injured
37798,37798,2023-11-25,CHA,Terry Rozier,,returned
37799,37799,2023-12-23,CHA,,Terry Rozier,injured
37800,37800,2023-12-25,CHA,Terry Rozier,,returned
37801,37801,2024-01-01,CHA,,Terry Rozier,injured
37802,37802,2024-01-02,CHA,Terry Rozier,,returned
37803,37803,2024-02-13,CHA,,Terry Rozier,injured
37804,37804,2024-02-26,CHA,Terry Rozier,,returned
37805,37805,2024-04-09,CHA,,Terry Rozier,injured
37806,37806,2024-04-14,CHA,Terry Rozier,,returned
37807,37807,2023-11-06,NOP,,CJ McCollum,injured
37808,37808,2023-11-28,NOP,CJ McCollum,,returned
37809,37809,2023-12-02,NOP,,CJ McCollum,injured
37810,37810,2023-12-04,NOP,CJ McCollum,,returned
37811,37811,2024-01-13,NOP,,CJ McCollum,injured
37812,37812,2024-01-14,NOP,CJ McCollum,,returned
