,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Draft Pick,Rating,Team
196,Miles Simon,1999,1999,G,6-3,202,"November 21, 1975",Arizona,42,0,n
198,Marko Simonovic,2022,2023,C,6-11,216,"October 15, 1999",,44,0,n
199,Anfernee Simons,2019,2025,G,6-3,181,"June 8, 1999",,24,0,n
200,Dickey Simpkins,1995,2002,F,6-9,248,"April 6, 1972",Providence,21,0,n
201,KJ Simpson,2025,2025,G,6-0,189,"August 8, 2002",Colorado,42,0,n
203,Zavier Simpson,2022,2024,G,6-0,190,"February 11, 1997",Michigan,0,0,n
204,Alvin Sims,1999,1999,G,6-4,235,"October 18, 1974",Louisville,0,0,n
206,Courtney Sims,2008,2009,C,6-10,245,"October 21, 1983",Michigan,0,0,n
208,Henry Sims,2013,2016,C,6-10,248,"March 27, 1990",Georgetown,0,0,n
209,Jericho Sims,2022,2025,F,6-10,245,"October 20, 1998",Texas,58,0,n
211,Kyle Singler,2013,2018,F,6-8,228,"May 4, 1988",Duke,33,0,n
212,Sean Singletary,2009,2009,G,6-0,185,"September 6, 1985",Virginia,42,0,n
213,Chris Singleton,2012,2014,F,6-8,230,"November 21, 1989",Florida State,18,0,n
214,James Singleton,2006,2012,F,6-8,216,"July 20, 1981",Murray State,0,0,n
215,McKinley Singleton,1987,1987,G,6-5,175,"October 29, 1961",UAB,120,0,n
217,Deividas Sirvydis,2021,2022,G-F,6-8,190,"June 10, 2000",,37,0,n
218,Charlie Sitton,1985,1985,F,6-8,210,"July 3, 1962",Oregon State,38,0,n
219,Peyton Siva,2014,2014,G,6-0,185,"October 24, 1990",Louisville,56,0,n
220,Dmytro Skapintsev,2024,2024,C,7-1,260,"May 12, 1998",Cal State Northridge,0,0,n
221,Scott Skiles,1987,1996,G,6-1,180,"March 5, 1964",Michigan State,22,0,n
223,Brian Skinner,1999,2012,F,6-9,255,"May 19, 1976",Baylor,22,0,n
227,Reggie Slater,1995,2003,F,6-7,215,"August 27, 1970",Wyoming,0,0,n
229,Jose Slaughter,1983,1983,G,6-5,205,"September 9, 1960",University of Portland,43,0,n
230,Jalen Slawson,2024,2024,F,6-7,215,"October 22, 1999",Furman University,54,0,n
231,Tamar Slay,2003,2005,G,6-8,215,"April 2, 1980",Marshall,54,0,n
232,Donald Sloan,2012,2016,G,6-3,205,"January 15, 1988",Texas A&M,0,0,n
234,Uroš Slokar,2007,2007,F,6-10,238,"May 14, 1983",,58,0,n
235,Tom Sluby,1985,1985,G,6-4,200,"February 18, 1962",Notre Dame,41,0,n
236,Alen Smailagić,2020,2021,F,6-10,215,"August 18, 2000",,39,0,n
237,Javonte Smart,2022,2024,G,6-4,205,"June 3, 1999",LSU,0,0,n
238,Keith Smart,1989,1989,G,6-1,175,"September 21, 1964",Indiana,41,0,n
239,Marcus Smart,2015,2025,G,6-3,220,"March 6, 1994",Oklahoma State,6,0,n
247,Charles Smith,1989,1997,F-C,6-10,230,"July 16, 1965",Pitt,3,0,n
248,Charles Smith,1990,1996,G,6-1,160,"November 29, 1967",Georgetown,0,0,n
249,Charles Smith,1998,2006,G,6-4,194,"August 22, 1975",New Mexico,26,0,n
250,Chris Smith,1993,1995,G,6-3,190,"May 17, 1970",UConn,34,0,n
251,Chris Smith,2014,2014,G,6-2,200,"October 13, 1987","Manhattan College, Louisville",0,0,n
252,Clinton Smith,1987,1991,F,6-6,210,"January 19, 1964","Ohio State, Cleveland State University",97,0,n
253,Craig Smith,2007,2012,F,6-7,250,"November 10, 1983",Boston College,36,0,n
255,Dennis Smith Jr.,2018,2024,G,6-2,205,"November 25, 1997",NC State,9,0,n
256,Derek Smith,1983,1991,G-F,6-6,205,"November 1, 1961",Louisville,35,0,n
259,Donta Smith,2005,2006,G-F,6-7,215,"November 27, 1983",Southeastern Illinois College,34,0,n
260,Doug Smith,1992,1996,F,6-10,220,"September 17, 1969",Missouri,6,0,n
261,Dru Smith,2023,2025,G,6-3,203,"December 30, 1997","University of Evansville, Missouri",0,0,n
266,Greg Smith,2012,2016,C,6-10,250,"January 8, 1991",Fresno State,0,0,n
267,Ish Smith,2011,2024,G,6-0,175,"July 5, 1988",Wake Forest,0,0,n
268,J.R. Smith,2005,2020,G-F,6-6,225,"September 9, 1985",North Carolina A&T,18,0,n
269,Jabari Smith,2001,2005,C,6-11,250,"February 12, 1977",LSU,45,0,n
270,Jabari Smith Jr.,2023,2025,F,6-11,220,"May 13, 2003",Auburn,3,0,n
271,Jalen Smith,2021,2025,F,6-10,215,"March 16, 2000",Maryland,10,0,n
272,Jason Smith,2008,2019,F-C,7-0,240,"March 2, 1986",Colorado State,20,0,n
273,Jerry Smith,2012,2012,G,6-2,190,"September 26, 1987",Louisville,0,0,n
274,Jim Smith,1982,1983,F,6-9,225,"April 12, 1958",Ohio State,54,0,n
275,Joe Smith,1996,2011,F,6-10,225,"July 26, 1975",Maryland,1,0,n
277,Josh Smith,2005,2018,F,6-9,225,"December 5, 1985",,17,0,n
278,Keith Smith,1987,1987,G,6-3,180,"March 9, 1964",Loyola Marymount,45,0,n
280,Kenny Smith,1988,1997,G,6-3,170,"March 8, 1965",UNC,6,0,n
281,LaBradford Smith,1992,1994,G,6-3,200,"April 3, 1969",Louisville,19,0,n
282,Larry Smith,1981,1993,F-C,6-8,215,"January 18, 1958",Alcorn State,24,0,n
283,Leon Smith,2002,2004,C,6-10,235,"November 2, 1980",,29,0,n
284,Michael Smith,1990,1995,F,6-10,225,"May 19, 1965",BYU,13,0,n
285,Michael Smith,1995,2001,F,6-8,230,"March 28, 1972",Providence,35,0,n
286,Mike Smith,2001,2001,F,6-8,195,"April 15, 1976",Louisiana-Monroe,35,0,n
287,Nick Smith Jr.,2024,2025,G,6-5,185,"April 18, 2004",Arkansas,27,0,n
288,Nolan Smith,2012,2013,G,6-2,185,"July 25, 1988",Duke,21,0,n
289,Otis Smith,1987,1992,G-F,6-5,210,"January 30, 1964",Jacksonville University,41,0,n
291,Phil Smith,1975,1983,G,6-4,185,"April 22, 1952",San Francisco,29,0,n
292,Randy Smith,1972,1983,G-F,6-3,180,"December 12, 1948",Buffalo State,104,0,n
293,Reggie Smith,1993,1994,C,6-10,240,"August 21, 1970",TCU,31,0,n
294,Robert Smith,1978,1985,G,5-11,165,"March 10, 1955",UNLV,65,0,n
295,Russ Smith,2015,2016,G,6-0,165,"April 19, 1991",Louisville,47,0,n
298,Steve Smith,1992,2005,G,6-8,200,"March 31, 1969",Michigan State,5,0,n
299,Steven Smith,2007,2007,F,6-8,235,"April 12, 1983",La Salle,0,0,n
300,Stevin Smith,1997,1997,G,6-2,208,"January 24, 1972",Arizona State,0,0,n
301,Terquavion Smith,2024,2024,G,6-4,165,"December 31, 2002",NC State,0,0,n
302,Theron Smith,2004,2005,F,6-8,225,"October 3, 1980",Ball State University,0,0,n
303,Tony Smith,1991,2001,G,6-3,185,"June 14, 1968",Marquette,51,0,n
304,Tyler Smith,2025,2025,F,6-11,224,"November 2, 2004",,33,0,n
307,Zhaire Smith,2019,2020,G,6-3,205,"June 4, 1999",Texas Tech,16,0,n
308,Rik Smits,1989,2000,C,7-4,250,"August 23, 1966",Marist College,2,0,n
309,Mike Smrek,1986,1992,C,7-0,250,"August 31, 1962",Canisius,25,0,n
311,Xavier Sneed,2022,2023,F,6-5,215,"December 21, 1997",Kansas State,0,0,n
312,Tony Snell,2014,2022,G-F,6-6,213,"November 10, 1991",New Mexico,20,0,n
313,Eric Snow,1996,2008,G,6-3,190,"April 24, 1973",Michigan State,43,0,n
315,Kirk Snyder,2005,2008,G,6-6,225,"June 5, 1983",Nevada,16,0,n
317,Ricky Sobers,1976,1986,G,6-3,198,"January 15, 1953",UNLV,16,0,n
319,Jeremy Sochan,2023,2025,F-G,6-8,230,"May 20, 2003",Baylor,9,0,n
322,Will Solomon,2002,2009,G,6-1,185,"July 20, 1978",Clemson,33,0,n
324,Darius Songaila,2004,2011,F,6-9,248,"February 14, 1978",Wake Forest,50,0,n
326,James Southerland,2014,2014,F,6-8,215,"April 28, 1990",Syracuse,0,0,n
328,Pape Sow,2005,2007,F,6-10,250,"November 22, 1981",Cal State Fullerton,47,0,n
330,Ray Spalding,2019,2021,F,6-10,215,"March 11, 1997",Louisville,56,0,n
331,Jim Spanarkel,1980,1984,G-F,6-5,190,"June 28, 1957",Duke,16,0,n
332,Vassilis Spanoulis,2007,2007,G,6-4,195,"August 7, 1982",,50,0,n
335,Rory Sparrow,1981,1992,G,6-2,175,"June 12, 1958",Villanova,75,0,n
338,Marreese Speights,2009,2018,C-F,6-10,255,"August 4, 1987",Florida,16,0,n
339,Omari Spellman,2019,2020,F,6-8,245,"July 21, 1997",Villanova,30,0,n
340,Andre Spencer,1993,1994,F,6-6,210,"July 20, 1964",Northern Arizona University,0,0,n
341,Cam Spencer,2025,2025,G,6-3,205,"April 6, 2000","Loyola (MD), Rutgers University, UConn",53,0,n
342,Elmore Spencer,1993,1997,C,7-0,270,"December 6, 1969","Georgia, UNLV",25,0,n
343,Felton Spencer,1991,2002,C,7-0,265,"January 15, 1968",Louisville,6,0,n
344,Pat Spencer,2024,2025,G,6-3,205,"July 4, 1996","Loyola (MD), Northwestern",0,0,n
347,Tiago Splitter,2011,2017,F-C,6-11,245,"January 1, 1985",,28,0,n
350,Latrell Sprewell,1993,2005,G,6-5,190,"September 8, 1970","Three Rivers Community College, Alabama",24,0,n
351,Larry Spriggs,1982,1986,F,6-7,230,"September 8, 1959",Howard University,81,0,n
352,Jaden Springer,2022,2025,G,6-4,204,"September 25, 2002",Tennessee,28,0,n
355,Ryan Stack,1999,2000,F,6-11,215,"July 24, 1975",South Carolina,48,0,n
356,Jerry Stackhouse,1996,2013,G-F,6-6,218,"November 5, 1974",UNC,3,0,n
362,Cassius Stanley,2021,2022,G,6-5,190,"August 18, 1999",Duke,54,0,n
363,Terence Stansbury,1985,1987,G,6-5,170,"February 27, 1961",Temple,15,0,n
364,John Starks,1989,2002,G,6-5,180,"August 10, 1965","Northern Oklahoma College, Oklahoma Junior College, Oklahoma State",0,0,n
366,Nik Stauskas,2015,2022,G,6-6,205,"October 7, 1993",Michigan,8,0,n
369,Matt Steigenga,1997,1997,F,6-7,225,"March 27, 1970",Michigan State,52,0,n
370,Vladimir Stepania,1999,2004,C,7-0,236,"May 8, 1976",,27,0,n
371,D.J. Stephens,2014,2019,G-F,6-5,188,"December 19, 1990",Memphis,0,0,n
372,Everette Stephens,1989,1991,G,6-2,175,"October 21, 1966",Purdue,31,0,n
374,Joe Stephens,1997,2000,F,6-7,210,"January 28, 1973","Colorado, Little Rock",0,0,n
375,Lance Stephenson,2011,2022,G-F,6-6,230,"September 5, 1990",Cincinnati,40,0,n
376,Alex Stepheson,2016,2016,F,6-10,270,"August 7, 1987","UNC, USC",0,0,n
377,Brook Steppe,1983,1989,G-F,6-5,195,"November 7, 1959",Georgia Tech,17,0,n
378,Barry Stevens,1993,1993,G-F,6-5,195,"January 17, 1963",Iowa State,43,0,n
379,Lamar Stevens,2021,2024,F,6-6,230,"July 9, 1997",Penn State,0,0,n
381,DeShawn Stevenson,2001,2013,G,6-5,210,"April 3, 1981",,23,0,n
383,Isaiah Stewart,2021,2025,F-C,6-8,250,"May 22, 2001",Washington,16,0,n
384,Kebu Stewart,1998,1998,F,6-8,239,"December 19, 1973","UNLV, Cal State-Bakersfield",36,0,n
385,Larry Stewart,1992,1997,F,6-8,220,"September 21, 1968",Coppin State University,0,0,n
386,Michael Stewart,1998,2005,C,6-10,230,"April 25, 1975",California,0,0,n
388,Greg Stiemsma,2012,2015,C,6-11,260,"September 26, 1985",Wisconsin,0,0,n
389,Steve Stipanovich,1984,1988,C,6-11,245,"November 17, 1960",Missouri,2,0,n
390,Bryant Stith,1993,2002,G,6-5,208,"December 10, 1970",Virginia,13,0,n
393,Alex Stivrins,1986,1993,F,6-8,220,"November 29, 1962","Creighton, Colorado",75,0,n
394,David Stockton,2015,2018,G,5-11,165,"June 24, 1991",Gonzaga,0,0,n
395,John Stockton,1985,2003,G,6-1,170,"March 26, 1962",Gonzaga,16,0,n
396,Peja Stojaković,1999,2011,F,6-10,229,"June 9, 1977",,14,0,n
397,Ed Stokes,1998,1998,C,7-0,264,"September 3, 1971",Arizona,35,0,n
398,Greg Stokes,1986,1990,F-C,6-10,220,"August 5, 1963",Iowa,33,0,n
399,Jarnell Stokes,2015,2017,F-C,6-9,263,"January 7, 1994",Tennessee,35,0,n
403,Diamond Stone,2017,2017,C,6-11,255,"February 10, 1997",Maryland,40,0,n
405,Julyan Stone,2012,2018,G,6-6,200,"December 7, 1988",Texas-El Paso,0,0,n
406,Awvee Storey,2005,2008,G-F,6-6,222,"April 18, 1977","Illinois, Arizona State",0,0,n
407,Damon Stoudamire,1996,2008,G,5-10,171,"September 3, 1973",Arizona,7,0,n
408,Salim Stoudamire,2006,2008,G,6-1,179,"October 11, 1982",Arizona,31,0,n
409,Amar'e Stoudemire,2003,2016,F-C,6-10,245,"November 16, 1982",,9,0,n
411,D.J. Strawberry,2008,2008,G,6-5,201,"June 15, 1985",Maryland,59,0,n
413,Julian Strawther,2024,2025,F,6-7,205,"April 18, 2002",Gonzaga,29,0,n
415,Erick Strickland,1997,2005,G,6-3,210,"November 25, 1973",Nebraska,0,0,n
416,Mark Strickland,1995,2003,F,6-9,210,"July 14, 1970",Temple,0,0,n
417,Rod Strickland,1989,2005,G,6-3,175,"July 11, 1966",DePaul,19,0,n
419,John Stroeder,1988,1989,F,6-10,260,"July 24, 1958",Montana,168,0,n
420,Derek Strong,1992,2001,F,6-8,220,"February 9, 1968",Xavier,47,0,n
421,Lamont Strothers,1992,1993,G,6-4,190,"May 10, 1968",Christopher Newport University,43,0,n
424,Max Strus,2020,2024,G,6-5,215,"March 28, 1996","Lewis (IL), DePaul",0,0,n
425,Rodney Stuckey,2008,2017,G,6-5,210,"April 21, 1986",Eastern Washington,15,0,n
428,Jalen Suggs,2022,2025,G,6-5,205,"June 3, 2001",Gonzaga,5,0,n
430,Jared Sullinger,2013,2017,F,6-9,260,"March 4, 1992",Ohio State,21,0,n
431,DaJuan Summers,2010,2013,F,6-8,230,"January 24, 1988",Georgetown,35,0,n
432,Edmond Sumner,2018,2023,G,6-4,196,"December 31, 1995",Xavier,52,0,n
433,Barry Sumpter,1989,1989,F-C,6-11,215,"November 11, 1965","Louisville, Austin Peay State University",56,0,n
435,Bruno Šundov,1999,2005,C,7-2,220,"February 10, 1980",,35,0,n
436,Jon Sundvold,1984,1992,G,6-2,170,"July 2, 1961",Missouri,16,0,n
437,Bob Sura,1996,2005,G,6-5,200,"March 25, 1973",Florida State,17,0,n
440,Dane Suttle,1984,1985,G,6-3,190,"August 9, 1961",Pepperdine,152,0,n
441,Greg Sutton,1992,1996,G,6-2,170,"December 3, 1967",Oral Roberts,49,0,n
444,Caleb Swanigan,2018,2020,F,6-9,260,"April 18, 1997",Purdue,26,0,n
447,Mike Sweetney,2004,2007,F,6-8,275,"October 25, 1982",Georgetown,9,0,n
448,Cole Swider,2023,2025,F,6-9,220,"May 8, 1999","Villanova, Syracuse",0,0,n
449,Robert Swift,2005,2009,C,7-0,245,"December 3, 1985",,12,0,n
451,Stromile Swift,2001,2009,F,6-9,225,"November 21, 1979",LSU,2,0,n
452,Aaron Swinson,1995,1995,F,6-5,230,"January 9, 1971",Auburn,0,0,n
453,Craig Sword,2022,2022,G,6-3,196,"January 16, 1994",Mississippi State,0,0,n
454,Pape Sy,2011,2011,F,6-7,225,"April 5, 1988",,53,0,n
456,Keifer Sykes,2022,2022,G,6-0,180,"December 30, 1993",Green Bay,0,0,n
457,Larry Sykes,1996,1996,F,6-9,255,"April 11, 1973",Xavier,0,0,n
458,Brett Szabo,1997,1997,C,6-11,230,"February 1, 1968",Augustana College (SD),0,0,n
459,Wally Szczerbiak,2000,2009,F,6-7,244,"March 5, 1977",Miami University,6,0,n
0,Žan Tabak,1995,2001,C,7-0,245,"June 15, 1970",,51,0,n
1,Yuta Tabuse,2005,2005,G,5-9,165,"October 5, 1980",Brigham Young University Hawaii,0,0,n
2,Chris Taft,2006,2006,F,6-10,260,"March 10, 1985",Pitt,42,0,n
4,Dragan Tarlać,2001,2001,C,6-10,260,"May 9, 1973",,31,0,n
5,Roy Tarpley,1987,1995,C-F,6-11,230,"November 28, 1964",Michigan,7,0,n
7,Jae'Sean Tate,2021,2025,F,6-4,230,"October 28, 1995",Ohio State,0,0,n
9,Jayson Tatum,2018,2025,F,6-8,210,"March 3, 1998",Duke,3,0,n
10,Edy Tavares,2016,2017,C,7-3,260,"March 22, 1992",,43,0,n
11,Anthony Taylor,1989,1989,G,6-4,175,"November 30, 1965",Oregon,44,0,n
13,Donell Taylor,2006,2007,G,6-6,180,"July 26, 1982","Okaloosa-Walton Community College, UAB",0,0,n
16,Isaiah Taylor,2017,2018,G,6-3,170,"July 11, 1994",Texas,0,0,n
17,Jay Taylor,1990,1990,G,6-3,190,"October 3, 1967",Eastern Illinois University,0,0,n
18,Jeff Taylor,1983,1987,G,6-4,175,"January 1, 1960",Texas Tech,42,0,n
19,Jeff Taylor,2013,2015,F,6-7,225,"May 23, 1989",Vanderbilt,31,0,n
20,Jermaine Taylor,2010,2011,G,6-4,210,"December 8, 1986",Central Florida,32,0,n
21,Johnny Taylor,1998,2000,F,6-9,220,"June 4, 1974","Indian Hills Community College, Chattanooga",17,0,n
22,Leonard Taylor,1990,1990,F,6-8,220,"May 2, 1966",California,0,0,n
23,Maurice Taylor,1998,2007,F,6-9,260,"October 30, 1976","Michigan, LSU",14,0,n
24,Mike Taylor,2009,2009,G,6-2,165,"January 21, 1986","Chipola College, Iowa State",55,0,n
27,Terry Taylor,2022,2024,G-F,6-5,230,"September 23, 1999",Austin Peay State University,0,0,n
28,Tyshawn Taylor,2013,2014,G,6-3,185,"April 12, 1990",Kansas,41,0,n
29,Vince Taylor,1983,1983,G-F,6-5,180,"September 11, 1960",Duke,34,0,n
30,Terry Teagle,1983,1993,F-G,6-5,195,"April 10, 1960",Baylor,16,0,n
31,Jeff Teague,2010,2021,G,6-3,195,"June 10, 1988",Wake Forest,19,0,n
32,Marquis Teague,2013,2018,G,6-2,189,"February 28, 1993",Kentucky,29,0,n
33,Mirza Teletović,2013,2018,F,6-9,242,"September 18, 1985",,0,0,n
34,Sebastian Telfair,2005,2015,G,6-0,165,"June 9, 1985",,13,0,n
36,Garrett Temple,2010,2025,G,6-5,195,"May 8, 1986",LSU,0,0,n
37,Miloš Teodosić,2018,2019,G,6-5,196,"March 19, 1987",,0,0,n
39,Jared Terrell,2019,2019,G,6-3,227,"February 10, 1995",Rhode Island,0,0,n
40,Carlos Terry,1981,1983,G-F,6-5,210,"June 22, 1956",Winston-Salem State,104,0,n
43,Dalen Terry,2023,2025,G,6-7,195,"July 12, 2002",Arizona,18,0,n
44,Emanuel Terry,2019,2022,F,6-9,220,"August 21, 1996",Lincoln Memorial,0,0,n
45,Jason Terry,2000,2018,G,6-2,185,"September 15, 1977",Arizona,10,0,n
46,Tyrell Terry,2021,2022,G,6-2,160,"September 28, 2000",Stanford,31,0,n
47,Jon Teske,2022,2022,C,7-1,265,"May 4, 1997",Michigan,0,0,n
48,Hasheem Thabeet,2010,2014,C,7-3,263,"February 16, 1987",UConn,2,0,n
51,Daniel Theis,2018,2025,C,6-8,245,"April 4, 1992",,0,0,n
52,Reggie Theus,1979,1991,G,6-6,190,"October 13, 1957",UNLV,9,0,n
53,Peter Thibeaux,1985,1986,F,6-7,210,"October 3, 1961",Saint Mary's,77,0,n
56,David Thirdkill,1983,1987,F-G,6-7,195,"April 12, 1960",Bradley,15,0,n
57,Adonis Thomas,2014,2014,F,6-7,200,"March 25, 1993",Memphis,0,0,n
58,Billy Thomas,2005,2008,G,6-4,208,"December 23, 1975",Kansas,0,0,n
59,Brodric Thomas,2021,2022,G,6-5,185,"January 28, 1997",Truman State University,0,0,n
60,Cam Thomas,2022,2025,G,6-4,210,"October 13, 2001",LSU,27,0,n
61,Carl Thomas,1992,1998,G,6-4,175,"October 3, 1969",Eastern Michigan,0,0,n
62,Charles Thomas,1992,1992,G,6-3,175,"October 3, 1969",Eastern Michigan,0,0,n
63,Etan Thomas,2002,2011,F,6-9,256,"April 1, 1978",Syracuse,12,0,n
64,Irving Thomas,1991,1991,F,6-8,225,"January 2, 1966","Kentucky, Florida State",0,0,n
65,Isaiah Thomas,2012,2024,G,5-9,185,"February 7, 1989",Washington,60,0,n
66,Isiah Thomas,1982,1994,G,6-1,180,"April 30, 1961",Indiana,2,0,n
67,Jamel Thomas,2000,2001,F,6-6,215,"March 25, 1973",Providence,0,0,n
68,James Thomas,2005,2006,F,6-8,235,"November 22, 1980",Texas,0,0,n
69,Jim Thomas,1984,1991,G,6-3,190,"October 19, 1960",Indiana,40,0,n
71,John Thomas,1998,2006,F,6-9,265,"September 8, 1975",Minnesota,25,0,n
72,Kenny Thomas,2000,2010,F,6-7,261,"July 25, 1977",New Mexico,22,0,n
73,Khyri Thomas,2019,2021,G,6-3,210,"May 8, 1996",Creighton,38,0,n
74,Kurt Thomas,1996,2013,F,6-9,230,"October 4, 1972",TCU,10,0,n
75,Lance Thomas,2012,2020,F,6-8,240,"April 24, 1988",Duke,0,0,n
76,Malcolm Thomas,2012,2015,F,6-9,225,"November 8, 1988","Pepperdine, San Diego State",0,0,n
77,Matt Thomas,2020,2022,G,6-4,190,"August 4, 1994",Iowa State,0,0,n
80,Tim Thomas,1998,2010,F,6-10,230,"February 26, 1977",Villanova,7,0,n
81,Tyrus Thomas,2007,2015,F,6-9,215,"August 17, 1986",LSU,4,0,n
83,Trey Thompkins,2012,2012,F,6-10,245,"May 20, 1990",Georgia,37,0,n
84,Amen Thompson,2024,2025,G,6-7,209,"January 30, 2003",,4,0,n
85,Ausar Thompson,2024,2025,G,6-7,215,"January 30, 2003",,5,0,n
86,Bernard Thompson,1985,1989,F-G,6-6,210,"August 30, 1962",Fresno State,19,0,n
87,Billy Thompson,1987,1992,F,6-7,195,"December 1, 1963",Louisville,19,0,n
88,Brooks Thompson,1995,1998,G,6-4,193,"July 19, 1970","Texas A&M, Oklahoma State",27,0,n
89,Corny Thompson,1983,1983,F,6-8,225,"February 5, 1960",UConn,50,0,n
90,David Thompson,1976,1984,G-F,6-4,195,"July 13, 1954",NC State,1,0,n
91,Dijon Thompson,2006,2007,G-F,6-7,195,"February 23, 1983",UCLA,54,0,n
93,Hollis Thompson,2014,2017,G-F,6-8,206,"April 3, 1991",Georgetown,0,0,n
95,Jason Thompson,2009,2016,F-C,6-11,250,"July 21, 1986",Rider University,12,0,n
97,Kevin Thompson,1994,1994,C-F,6-11,260,"February 7, 1971",NC State,48,0,n
98,Klay Thompson,2012,2025,G-F,6-5,215,"February 8, 1990",Washington State,11,0,n
99,LaSalle Thompson,1983,1997,C-F,6-10,245,"June 23, 1961",Texas,5,0,n
100,Mychal Thompson,1979,1991,C-F,6-10,226,"January 30, 1955",Minnesota,1,0,n
101,Mychel Thompson,2012,2012,G,6-6,211,"June 1, 1988",Pepperdine,0,0,n
102,Paul Thompson,1984,1986,G-F,6-6,210,"May 25, 1961",Tulane,50,0,n
103,Stephen Thompson,1992,1992,G,6-4,185,"December 2, 1968",Syracuse,0,0,n
104,Tristan Thompson,2012,2025,F-C,6-9,254,"March 13, 1991",Texas,4,0,n
105,JT Thor,2022,2025,F,6-10,205,"August 26, 2002",Auburn,37,0,n
108,Al Thornton,2008,2011,F,6-8,220,"December 7, 1983",Florida State,14,0,n
109,Bob Thornton,1986,1996,F-C,6-10,225,"July 10, 1962","University of California, Irvine",87,0,n
111,Marcus Thornton,2010,2017,G,6-4,205,"June 5, 1987",LSU,43,0,n
112,Sindarius Thornwell,2018,2021,G,6-4,215,"November 15, 1994",South Carolina,48,0,n
113,Otis Thorpe,1985,2001,F-C,6-10,248,"August 5, 1962",Providence,9,0,n
114,Sedale Threatt,1984,1997,G,6-2,175,"September 10, 1961",West Virginia Tech,139,0,n
117,Matisse Thybulle,2020,2024,G,6-5,201,"March 4, 1997",Washington,20,0,n
120,Killian Tillie,2021,2022,F,6-9,220,"March 5, 1998",Gonzaga,0,0,n
121,Darren Tillis,1983,1984,C-F,6-11,215,"February 23, 1960",Cleveland State University,23,0,n
122,Xavier Tillman Sr.,2021,2025,F,6-8,245,"January 12, 1999",Michigan State,35,0,n
125,Jamaal Tinsley,2002,2014,G,6-3,195,"February 28, 1978",Iowa State,27,0,n
126,Wayman Tisdale,1986,1997,F-C,6-9,240,"June 9, 1964",Oklahoma,2,0,n
127,Mike Tobey,2017,2017,C,7-0,260,"October 10, 1994",Virginia,0,0,n
128,Isaiah Todd,2022,2023,F,6-10,220,"October 17, 2001",,31,0,n
130,Ray Tolbert,1982,1989,F,6-9,225,"September 10, 1958",Indiana,18,0,n
131,Tom Tolbert,1989,1995,F-C,6-7,235,"October 16, 1965","University of California, Irvine, Arizona",34,0,n
132,Anthony Tolliver,2009,2021,F-C,6-8,240,"June 1, 1985",Creighton,0,0,n
135,Andrew Toney,1981,1988,G,6-3,178,"November 23, 1957",Louisiana,8,0,n
136,Sedric Toney,1986,1994,G,6-2,178,"April 13, 1962",Dayton,59,0,n
138,Andy Toolson,1991,1996,G-F,6-6,210,"January 19, 1966",BYU,0,0,n
141,Jacob Toppin,2024,2025,F,6-9,205,"May 8, 2000","Rhode Island, Kentucky",0,0,n
142,Obi Toppin,2021,2025,F,6-9,220,"March 4, 1998",Dayton,8,0,n
145,Óscar Torres,2002,2003,F,6-6,210,"December 18, 1976",,0,0,n
146,Juan Toscano-Anderson,2020,2024,F,6-6,209,"April 10, 1993",Marquette,0,0,n
149,Axel Toupane,2016,2021,G-F,6-7,197,"July 23, 1992",,0,0,n
151,Keith Tower,1994,1997,C-F,6-11,250,"May 15, 1970",Notre Dame,0,0,n
153,Linton Townes,1983,1985,F-G,6-7,190,"November 30, 1959",James Madison University,33,0,n
154,Karl-Anthony Towns,2016,2025,C-F,7-0,248,"November 15, 1995",Kentucky,1,0,n
156,Armel Traoré,2025,2025,F,6-8,215,"January 23, 2003",,0,0,n
159,Luke Travers,2025,2025,G,6-8,199,"September 3, 2001",,56,0,n
160,Robert Traylor,1999,2005,F,6-8,284,"February 1, 1977",Michigan,6,0,n
161,Gary Trent,1996,2004,F,6-8,250,"September 22, 1974",Ohio University,11,0,n
162,Gary Trent Jr.,2019,2025,G,6-5,209,"January 18, 1999",Duke,37,0,n
163,Jeff Trepagnier,2002,2004,G,6-4,200,"July 11, 1979",USC,36,0,n
165,Allonzo Trier,2019,2020,G,6-4,200,"January 17, 1996",Arizona,0,0,n
167,Kelly Tripucka,1982,1991,F-G,6-6,220,"February 16, 1959",Notre Dame,12,0,n
169,Cezary Trybański,2003,2004,C,7-2,240,"September 22, 1979",,0,0,n
170,Jake Tsakalidis,2001,2007,C,7-2,285,"June 10, 1979",,25,0,n
172,Oscar Tshiebwe,2024,2025,F,6-9,260,"November 27, 1999","West Virginia, Kentucky",0,0,n
174,Nikoloz Tskitishvili,2003,2006,F,7-0,225,"April 14, 1983",,5,0,n
176,Alando Tucker,2008,2010,F,6-6,205,"February 11, 1984",Wisconsin,29,0,n
177,Anthony Tucker,1995,1995,F,6-8,220,"April 4, 1969","Georgetown, Wake Forest",0,0,n
179,P.J. Tucker,2007,2024,F,6-5,245,"May 5, 1985",Texas,35,0,n
180,Rayjon Tucker,2020,2022,F,6-3,209,"September 24, 1997","Florida Gulf Coast, Little Rock",0,0,n
181,Trent Tucker,1983,1993,G,6-5,193,"December 20, 1959",Minnesota,6,0,n
182,Ronny Turiaf,2006,2015,F,6-10,249,"January 13, 1983",Gonzaga,37,0,n
183,Mirsad Türkcan,2000,2000,F,6-9,236,"June 7, 1976",,18,0,n
